iter	MultiClass
263	0.1335519447
264	0.1332103102
265	0.1328090688
266	0.1324643641
267	0.1322120736
268	0.1318256895
269	0.1314707407
270	0.1310456271
271	0.1307030784
272	0.1303616335
273	0.1300484295
274	0.1297781237
275	0.1292819826
276	0.1289734672
277	0.128751232
278	0.1284760846
279	0.128158126
280	0.1277547148
281	0.1274749815
282	0.1272292078
283	0.1269365479
284	0.1267241944
285	0.1264744764
286	0.1261296422
287	0.1258865124
288	0.1256172765
289	0.1252768729
290	0.1249356422
291	0.1247154426
292	0.1244225342
293	0.124145595
294	0.1238108382
295	0.1236460057
296	0.1232927479
297	0.1230344703
298	0.1227237703
299	0.1224082612
300	0.1221072377
301	0.1216812598
302	0.1212929366
303	0.1209850908
304	0.1207647156
305	0.1205788369
306	0.1201723941
307	0.1199808933
308	0.1197402589
309	0.1193650692
310	0.1189512645
311	0.1185660732
312	0.1182873628
313	0.1179415429
314	0.1177668814
315	0.1175457413
316	0.1172435393
317	0.1170212774
318	0.1166677549
319	0.1162517226
320	0.115990304
321	0.1157451768
322	0.1154912858
323	0.1151888303
324	0.1149623999
325	0.1146788389
326	0.114447625
327	0.1142199037
328	0.1139017794
329	0.113691979
330	0.1133686062
331	0.11312218
332	0.1129063533
333	0.1126596853
334	0.1123023269
335	0.1119902835
336	0.1116506772
337	0.1114418283
338	0.1112275816
339	0.110848895
340	0.1105995115
341	0.1102486549
342	0.1100461818
343	0.1098220517
344	0.109586539
345	0.1093136984
346	0.1089637224
347	0.1087382921
348	0.1084392973
349	0.1081922718
350	0.1078583874
351	0.1077188512
352	0.1074025114
353	0.1071752353
354	0.1069624845
355	0.1067173269
356	0.106416149
357	0.1062279301
358	0.1059131786
359	0.1056939089
360	0.1054755322
361	0.1051196792
362	0.1048864083
363	0.1046645941
364	0.1044189471
365	0.1041192674
366	0.1038396048
367	0.1036376143
368	0.1034142527
369	0.1031543654
370	0.1028510484
371	0.1025982847
372	0.1023328917
373	0.1021293259
374	0.1018599482
375	0.1017449537
376	0.1015850305
377	0.1013913409
378	0.1011303484
379	0.1009467314
380	0.1007501136
381	0.1006002477
382	0.1004018786
383	0.1001161219
384	0.09988408005
385	0.09969233261
386	0.09938483319
387	0.09912707681
388	0.09888970382
389	0.09863779394
390	0.09841527315
391	0.09824477335
392	0.0981052891
393	0.09792459288
394	0.09772095603
395	0.09744891567
396	0.09716733412
397	0.09686723456
398	0.09669161376
399	0.09658404084
400	0.09639446794
401	0.09608966133
402	0.09586659683
403	0.09567615831
404	0.09545998408
405	0.09527268458
406	0.09516823302
407	0.0949775854
408	0.09481454978
409	0.0945851332
410	0.09442237415
411	0.09421708812
412	0.09403751174
413	0.09381562794
414	0.09359013869
415	0.09341714574
416	0.09308828822
417	0.09288345258
418	0.09265962691
419	0.09250134682
420	0.09226016221
421	0.09207633501
422	0.0919121196
423	0.09171934626
424	0.09160996346
425	0.09138162544
426	0.09115831353
427	0.0909385957
428	0.09070326147
429	0.09057201291
430	0.09038592759
431	0.09024433986
432	0.08997957642
433	0.0896678372
434	0.08940798241
435	0.0892557095
436	0.08905930707
437	0.08880587279
438	0.08861890027
439	0.08851125302
440	0.08835848982
441	0.08820141149
442	0.08795457259
